data,time
1000,0.000691
1500,0.002186
2000,0.003312
2500,0.004719
3000,0.007242
3500,0.008996
4000,0.012087
4500,0.014697
5000,0.01825
5500,0.022891
6000,0.026524
6500,0.030679
7000,0.036257
7500,0.042974
8000,0.048502
8500,0.053779
9000,0.060363
9500,0.066562
10000,0.073544
10500,0.08039
11000,0.089237
11500,0.098619
12000,0.112532
12500,0.121526
13000,0.124938
13500,0.14507
14000,0.149644
14500,0.152122
15000,0.169789
15500,0.177538
16000,0.197456
16500,0.196944
17000,0.212254
17500,0.216646
18000,0.228488
18500,0.241492
19000,0.253889
19500,0.268765
20000,0.280853
20500,0.29313
