data,time
1000,0.000122
1500,0.000229
2000,0.000228
2500,0.000354
3000,0.000395
3500,0.000494
4000,0.000575
4500,0.000577
5000,0.00067
5500,0.000747
6000,0.000876
6500,0.000854
7000,0.000942
7500,0.001091
8000,0.001193
8500,0.001311
9000,0.001387
9500,0.001658
10000,0.00134
10500,0.001531
11000,0.001712
11500,0.002224
12000,0.001892
12500,0.002018
13000,0.002126
13500,0.002012
14000,0.002295
14500,0.00237
15000,0.00251
15500,0.002599
16000,0.00249
16500,0.003228
17000,0.002512
17500,0.003019
18000,0.002809
18500,0.003131
19000,0.002868
19500,0.003088
20000,0.003144
20500,0.004246
