data,time
1000,0.000711
1500,0.001471
2000,0.002656
2500,0.003908
3000,0.005786
3500,0.007869
4000,0.010131
4500,0.012618
5000,0.017023
5500,0.020325
6000,0.026256
6500,0.032022
7000,0.034363
7500,0.040121
8000,0.051549
8500,0.056826
9000,0.096572
9500,0.095981
10000,0.097151
10500,0.123835
11000,0.113729
11500,0.109608
12000,0.120434
12500,0.155112
13000,0.186868
13500,0.15148
14000,0.157957
14500,0.166948
15000,0.177644
15500,0.18905
16000,0.202351
16500,0.211904
17000,0.224434
17500,0.235547
18000,0.250658
18500,0.262766
19000,0.276387
19500,0.289171
20000,0.312503
20500,0.319908
