data,time
1000,0.000142
1500,0.000226
2000,0.000315
2500,0.000437
3000,0.000522
3500,0.000711
4000,0.000808
4500,0.000855
5000,0.001096
5500,0.001352
6000,0.001625
6500,0.001429
7000,0.001687
7500,0.001706
8000,0.001769
8500,0.001794
9000,0.001916
9500,0.002033
10000,0.002184
10500,0.002398
11000,0.002462
11500,0.002964
12000,0.002808
12500,0.002798
13000,0.002922
13500,0.003265
14000,0.003299
14500,0.003368
15000,0.003522
15500,0.003861
16000,0.004754
16500,0.003957
17000,0.004248
17500,0.004572
18000,0.004358
18500,0.004468
19000,0.00536
19500,0.004811
20000,0.004752
20500,0.005304
