data,time
1000,0.001163
1500,0.002702
2000,0.0049
2500,0.007607
3000,0.011193
3500,0.014047
4000,0.017875
4500,0.022235
5000,0.028598
5500,0.033167
6000,0.039852
6500,0.047291
7000,0.055762
7500,0.062828
8000,0.071318
8500,0.079685
9000,0.092414
9500,0.101617
10000,0.111674
10500,0.121023
11000,0.135922
11500,0.147992
12000,0.161887
12500,0.176179
13000,0.190892
13500,0.205161
14000,0.219304
14500,0.232665
15000,0.251248
15500,0.267296
16000,0.287478
16500,0.30521
17000,0.325222
17500,0.341971
18000,0.361046
18500,0.382516
19000,0.405569
19500,0.424071
20000,0.444751
20500,0.465343
