data,time
1000,0.000913
1500,0.001944
2000,0.004793
2500,0.005538
3000,0.009312
3500,0.011265
4000,0.014612
4500,0.018728
5000,0.021785
5500,0.026941
6000,0.032184
6500,0.03826
7000,0.043959
7500,0.050139
8000,0.056486
8500,0.066168
9000,0.07286
9500,0.081873
10000,0.093189
10500,0.099419
11000,0.108281
11500,0.118699
12000,0.129646
12500,0.141758
13000,0.152241
13500,0.163447
14000,0.176559
14500,0.189842
15000,0.199148
15500,0.214286
16000,0.229472
16500,0.24664
17000,0.259733
17500,0.273309
18000,0.354337
18500,0.398292
19000,0.441517
19500,0.490592
20000,0.535917
20500,0.56401
