data,time
1000,0.000717
1500,0.001518
2000,0.003657
2500,0.004448
3000,0.006211
3500,0.008494
4000,0.011376
4500,0.015457
5000,0.017139
5500,0.020859
6000,0.024907
6500,0.029314
7000,0.035182
7500,0.038611
8000,0.045992
8500,0.050705
9000,0.056985
9500,0.064191
10000,0.070332
10500,0.076967
11000,0.084117
11500,0.092603
12000,0.101021
12500,0.109268
13000,0.11902
13500,0.129046
14000,0.136769
14500,0.144859
15000,0.157025
15500,0.165607
16000,0.182186
16500,0.187862
17000,0.198928
17500,0.215254
18000,0.223942
18500,0.236108
19000,0.250145
19500,0.262601
20000,0.276313
20500,0.288281
