data,time
1000,9e-06
1500,1.1e-05
2000,1.5e-05
2500,1.5e-05
3000,2.5e-05
3500,5.1e-05
4000,2.9e-05
4500,3.5e-05
5000,3.3e-05
5500,4.9e-05
6000,4.3e-05
6500,4.3e-05
7000,5e-05
7500,4.9e-05
8000,5e-05
8500,5.6e-05
9000,6.1e-05
9500,6.7e-05
10000,6.7e-05
10500,7.5e-05
11000,7.1e-05
11500,7.1e-05
12000,7.6e-05
12500,8.1e-05
13000,8.3e-05
13500,8.9e-05
14000,0.000212
14500,8.6e-05
15000,9.4e-05
15500,0.000106
16000,0.000102
16500,0.000111
17000,0.000121
17500,0.000118
18000,0.000121
18500,0.000129
19000,0.000305
19500,0.000146
20000,0.000137
20500,0.000132
