data,time
1000,0.002254
1500,0.004747
2000,0.008415
2500,0.014724
3000,0.019393
3500,0.028183
4000,0.033544
4500,0.039968
5000,0.050942
5500,0.059676
6000,0.072237
6500,0.085262
7000,0.101775
7500,0.112499
8000,0.127896
8500,0.147115
9000,0.174709
9500,0.18849
10000,0.207517
10500,0.231555
11000,0.262553
11500,0.283067
12000,0.297349
12500,0.321115
13000,0.360646
13500,0.386027
14000,0.411345
14500,0.435094
15000,0.469404
15500,0.49184
16000,0.547803
16500,0.557361
17000,0.593667
17500,0.642882
18000,0.652146
18500,0.704418
19000,0.754076
19500,0.835607
20000,0.840643
20500,0.876181
