data,time
1000,0.001026
1500,0.002271
2000,0.003741
2500,0.006148
3000,0.008672
3500,0.011917
4000,0.017569
4500,0.025256
5000,0.03747
5500,0.031224
6000,0.038092
6500,0.053923
7000,0.052
7500,0.058376
8000,0.067114
8500,0.076289
9000,0.083601
9500,0.102214
10000,0.125952
10500,0.113562
11000,0.126889
11500,0.137436
12000,0.149988
12500,0.16258
13000,0.170883
13500,0.186719
14000,0.211689
14500,0.217244
15000,0.235088
15500,0.249473
16000,0.259404
16500,0.272325
17000,0.302931
17500,0.336836
18000,0.342639
18500,0.353864
19000,0.368321
19500,0.389666
20000,0.407847
20500,0.472733
