data,time
1000,0.000336
1500,0.000501
2000,0.000647
2500,0.000998
3000,0.001284
3500,0.001309
4000,0.001493
4500,0.001579
5000,0.00168
5500,0.002494
6000,0.00234
6500,0.002598
7000,0.002577
7500,0.002569
8000,0.004714
8500,0.003373
9000,0.003621
9500,0.00406
10000,0.005929
10500,0.003891
11000,0.00439
11500,0.00396
12000,0.007301
12500,0.005755
13000,0.005725
13500,0.008699
14000,0.006208
14500,0.00632
15000,0.008665
15500,0.007552
16000,0.007263
16500,0.007329
17000,0.00843
17500,0.011689
18000,0.008948
18500,0.012017
19000,0.00885
19500,0.0109
20000,0.008269
20500,0.008491
