data,time
1000,0.000209
1500,0.000436
2000,0.000534
2500,0.000582
3000,0.000714
3500,0.000966
4000,0.000927
4500,0.001023
5000,0.001226
5500,0.001349
6000,0.001618
6500,0.001418
7000,0.001915
7500,0.012905
8000,0.006398
8500,0.010837
9000,0.003142
9500,0.005182
10000,0.003034
10500,0.002951
11000,0.005038
11500,0.003208
12000,0.003226
12500,0.003244
13000,0.003783
13500,0.003713
14000,0.003938
14500,0.003904
15000,0.004
15500,0.004274
16000,0.004583
16500,0.006338
17000,0.006477
17500,0.006557
18000,0.005099
18500,0.00571
19000,0.005795
19500,0.005173
20000,0.005231
20500,0.005541
