data,time
1000,0.000229
1500,0.000409
2000,0.000593
2500,0.000782
3000,0.000931
3500,0.001852
4000,0.001222
4500,0.001306
5000,0.001443
5500,0.001644
6000,0.001861
6500,0.00199
7000,0.002241
7500,0.002566
8000,0.002871
8500,0.002995
9000,0.00282
9500,0.003286
10000,0.003441
10500,0.003612
11000,0.00425
11500,0.004067
12000,0.004378
12500,0.004334
13000,0.004549
13500,0.005072
14000,0.005197
14500,0.005261
15000,0.00535
15500,0.005258
16000,0.007486
16500,0.005895
17000,0.006536
17500,0.008148
18000,0.006711
18500,0.006808
19000,0.008894
19500,0.007899
20000,0.0073
20500,0.009476
