data,time
1000,0.000575
1500,0.001361
2000,0.002457
2500,0.005085
3000,0.006963
3500,0.008787
4000,0.010341
4500,0.013979
5000,0.016599
5500,0.01713
6000,0.019227
6500,0.024197
7000,0.027089
7500,0.030165
8000,0.037863
8500,0.043196
9000,0.048325
9500,0.04888
10000,0.052149
10500,0.05717
11000,0.068942
11500,0.076844
12000,0.090275
12500,0.097555
13000,0.101018
13500,0.106387
14000,0.114599
14500,0.127719
15000,0.141519
15500,0.141839
16000,0.138807
16500,0.146868
17000,0.1777
17500,0.197304
18000,0.181315
18500,0.200574
19000,0.202121
19500,0.228143
20000,0.24978
20500,0.271065
