data,time
1000,0.000374
1500,0.000732
2000,0.001432
2500,0.002207
3000,0.003273
3500,0.004087
4000,0.005085
4500,0.006659
5000,0.007794
5500,0.008726
6000,0.011518
6500,0.014036
7000,0.022343
7500,0.02158
8000,0.021506
8500,0.023971
9000,0.026523
9500,0.029677
10000,0.033969
10500,0.036372
11000,0.039437
11500,0.040519
12000,0.045458
12500,0.045395
13000,0.044558
13500,0.046749
14000,0.051336
14500,0.056129
15000,0.060601
15500,0.061708
16000,0.066307
16500,0.073492
17000,0.078303
17500,0.077219
18000,0.081055
18500,0.087994
19000,0.091687
19500,0.095352
20000,0.106213
20500,0.108743
