data,time
1000,9.4e-05
1500,0.000144
2000,0.000204
2500,0.000254
3000,0.000357
3500,0.000373
4000,0.00043
4500,0.000507
5000,0.000918
5500,0.00078
6000,0.001106
6500,0.000819
7000,0.000825
7500,0.000887
8000,0.001041
8500,0.001042
9000,0.001139
9500,0.001213
10000,0.001383
10500,0.001415
11000,0.001356
11500,0.001575
12000,0.001611
12500,0.001694
13000,0.001733
13500,0.001852
14000,0.00192
14500,0.001968
15000,0.001999
15500,0.002048
16000,0.002196
16500,0.002302
17000,0.002418
17500,0.002413
18000,0.002406
18500,0.002717
19000,0.002717
19500,0.002685
20000,0.002831
20500,0.00282
